CPI for All Urban Consumers (CPI-U),,,,,,,,,,,,,,,,,,
Base Period:,1982-84=100,,,,,,,,,,,,,,,,,
Years:,2019 to 2022,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
YEAR,MONTH,BOSTON_CPI,CHICAGO_CPI,LA _CPI,NY_CPI,PHOENIX_CPI,SF_CPI,SEATTLE_CPI,All_US_Cities,,,,,,,,,
2019,JAN,278.976,238.218,269.468,275.144,0.000,0.000,0.000,251.710,,,,,,,,,
2019,FEB,0.000,239.669,269.608,275.823,139.660,291.227,275.304,252.776,,,,,,,,,
2019,MAR,280.393,240.019,271.311,276.570,0.000,0.000,0.000,254.202,,,,,,,,,
2019,APR,0.000,239.726,273.945,277.441,141.642,294.801,276.765,255.548,,,,,,,,,
2019,MAY,280.937,241.758,274.479,278.068,0.000,0.000,0.000,256.092,,,,,,,,,
2019,JUN,0.000,240.835,274.380,278.802,142.997,295.259,278.631,256.143,,,,,,,,,
2019,JUL,280.943,241.589,274.682,278.817,0.000,0.000,0.000,256.571,,,,,,,,,
2019,AUG,0.000,241.985,274.579,279.428,143.760,295.490,280.286,256.558,,,,,,,,,
2019,SEPT,281.603,242.393,276.054,279.338,0.000,0.000,0.000,256.759,,,,,,,,,
2019,OCT,0.000,243.236,278.075,279.255,145.833,298.443,278.682,257.346,,,,,,,,,
2019,NOV,283.526,242.661,277.239,279.468,0.000,0.000,0.000,257.208,,,,,,,,,
2019,DEC,0.000,242.079,275.553,279.816,144.910,297.007,279.421,256.974,,,,,,,,,
2020,JAN,285.181,244.361,277.755,282.020,0.000,0.000,0.000,257.971,,,,,,,,,
2020,FEB,0.000,244.407,278.657,282.577,145.746,299.690,282.115,258.678,,,,,,,,,
2020,MAR,285.544,242.655,276.589,281.975,0.000,0.000,0.000,258.115,,,,,,,,,
2020,APR,0.000,240.364,275.853,280.623,143.734,298.074,280.484,256.389,,,,,,,,,
2020,MAY,282.620,242.650,276.842,282.092,0.000,0.000,0.000,256.394,,,,,,,,,
2020,JUN,0.000,243.475,278.121,282.333,145.849,300.032,281.055,257.797,,,,,,,,,
2020,JUL,283.175,244.046,279.899,283.624,0.000,0.000,0.000,259.101,,,,,,,,,
2020,AUG,0.000,244.341,280.116,283.478,146.395,300.182,284.905,259.918,,,,,,,,,
2020,SEPT,283.391,245.745,279.366,284.551,0.000,0.000,0.000,260.280,,,,,,,,,
2020,OCT,0.000,245.584,279.947,284.121,146.830,301.736,284.505,260.388,,,,,,,,,
2020,NOV,284.622,244.610,280.102,283.291,0.000,0.000,0.000,260.229,,,,,,,,,
2020,DEC,0.000,244.235,279.560,284.350,145.660,302.948,283.409,260.474,,,,,,,,,
2021,JAN,286.615,246.008,280.178,285.525,0.000,0.000,0.000,261.582,,,,,,,,,
2021,FEB,0.000,247.387,281.347,286.474,147.186,304.387,286.950,263.014,,,,,,,,,
2021,MAR,289.240,248.984,282.648,287.481,0.000,0.000,0.000,264.877,,,,,,,,,
2021,APR,0.000,251.491,285.808,289.493,150.787,309.419,290.068,267.054,,,,,,,,,
2021,MAY,291.667,253.934,287.620,290.991,0.000,0.000,0.000,269.195,,,,,,,,,
2021,JUN,0.000,254.974,289.218,293.872,153.672,309.497,296.573,271.696,,,,,,,,,
2021,JUL,295.211,255.929,290.890,293.553,0.000,0.000,0.000,273.003,,,,,,,,,
2021,AUG,0.000,256.078,291.333,293.927,153.931,311.167,299.704,273.567,,,,,,,,,
2021,SEPT,294.784,256.881,292.209,295.488,0.000,0.000,0.000,274.310,,,,,,,,,
2021,OCT,0.000,258.621,294.961,296.472,157.254,313.265,303.099,276.589,,,,,,,,,
2021,NOV,299.723,259.254,296.790,297.490,0.000,0.000,0.000,277.948,,,,,,,,,
2021,DEC,0.000,260.368,297.925,296.865,159.850,315.805,304.856,278.802,,,,,,,,,
2022,JAN,304.634,262.730,301.209,300.164,0.000,0.000,0.000,281.148,,,,,,,,,
2022,FEB,0.000,264.828,302.164,301.151,163.261,320.195,310.078,283.716,,,,,,,,,
2022,MAR,310.311,268.417,306.679,305.024,0.000,0.000,0.000,287.504,,,,,,,,,
2022,APR,0.000,269.569,308.302,307.781,167.396,324.878,316.525,289.109,,,,,,,,,
2022,MAY,313.578,274.301,310.649,309.243,0.000,0.000,0.000,292.296,,,,,,,,,
2022,JUN,0.000,277.780,314.072,313.589,172.643,330.539,326.656,296.311,,,,,,,,,
2022,JUL,315.841,277.311,313.415,312.615,0.000,0.000,0.000,296.276,,,,,,,,,
2022,AUG,0.000,277.454,313.608,313.280,173.952,328.871,326.796,296.171,,,,,,,,,
2022,SEPT,318.800,278.030,315.033,313.880,0.000,0.000,0.000,296.808,,,,,,,,,
2022,OCT,0.000,278.415,317.014,314.338,176.337,332.062,330.173,298.012,,,,,,,,,
2022,NOV,320.720,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,
2022,DEC,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,
,,,,,,,,,,,,,,,,,,